IP Address,Open Ports,Services
185.63.13.30,25,SMTP
185.63.13.29,443,HTTP
185.63.13.26,"443, 500","HTTP, IKE"
185.63.13.25,"161, 2000","SNMP, MIKROTIK_BW"
