IP Address,Port,Service Name
213.213.127.34,5060,SIP
213.213.127.34,5061,SIP
213.213.127.34,5062,UNKNOWN
213.213.127.34,5222,XMPP
213.213.127.34,5269,XMPP
213.213.127.34,8443,HTTP
213.213.127.33,5060,SIP
213.213.127.33,5061,SIP
213.213.127.33,5062,UNKNOWN
213.213.127.33,5222,XMPP
213.213.127.33,5269,XMPP
213.213.127.33,8443,HTTP
213.213.127.50,443,HTTP
213.213.127.49,443,UNKNOWN
